nazev,lon,lat
Kavárna 3+1,14.4055158,50.0806925
Atelier Red&Wine,14.4038407,50.0797509
Klub Kafe TERCIE,14.4069609,50.0782769
Monte Christo Bar,14.395408,50.073652
Zuby Nehty,14.4032083,50.0769844
Пивное депо,14.3943452,50.0737204
Rock bar Gorila,14.3941796,50.0737422
Made In Brasil,14.4039991,50.0776348
Nightmare Prague Horror Bar (2),14.4044188,50.0799409
NIGHTMARE Prague Horror Bar,14.4044188,50.0799409
Kočárek,14.3895144,50.0724256
JEEP BAR,14.3780624,50.0745979
KAJOT Intacto Praha Laudova,14.3132163,50.0686901
Originál Šenkovna,14.3023847,50.0660261
"Sport Bar ""Legenda""",14.2983895,50.06904
...JK bar...,14.3045073,50.065991
Lázně U Hastrmana,14.5820028,50.0884884
Bar NDR,14.5762245,50.0856112
Vinárna a Vinotéka Krásný Časy,14.5000589,50.0803398
Asti,14.4992626,50.0804995
Hostinec V Aleji,14.5043942,50.0785805
Rolls Royce & Bentley Club ČR,14.4992894,50.0781502
Miroir De Paris,14.4995252,50.0782032
Hospůdka Na Palouku,14.4884623,50.0786684
Bar Na Želvě,14.4763526,50.0779075
Bar želva,14.4763526,50.0779075
Naftař,14.475864,50.07677
Pivnice U Bergnerů,14.4639542,50.076873
cafe bar BOMON,14.466878,50.0784693
AAA Exclusive Club,14.4625565,50.0754943
INFINITY Restaurant & Music Bar,14.4628188,50.077222
Vinotéka Moravia,14.4583007,50.078389
Hospůdka V Ateliéru,14.4549364,50.0775658
Cocktail Pub Pulp Fiction,14.4541268,50.0797433
Na Radhošti,14.4559745,50.0797286
XCLUSIVE SOCIETY,14.4571564,50.0753018
Realita Bar Prague,14.4535442,50.0799556
Bacaro,14.4537579,50.077626
UGO freshbar,14.4612063,50.0785036
Kopa Bar,14.4594681,50.0775831
Café bar EPIZODA,14.4561642,50.0793387
Pivotéka Pivo a párek,14.4548954,50.0756115
Mega Fitness,14.455095,50.075307
Los v Oslu,14.4536777,50.0769797
Puerto Bar,14.4523811,50.0764957
Vinotéka Spiritus Vinus,14.4509751,50.0786835
Le Caveau Pekárna,14.4499797,50.0785893
Puerto Rico Cafe & Cocktail Bar,14.4523972,50.076368
Manesova Bar and Books,14.4441403,50.0776016
Víno u Ály,14.4428694,50.0766678
Veronika Carmanová,14.4453158,50.074286
Factory Club,14.4428444,50.07719
Wine Bar Vávrů,14.437614,50.076351
Peach Pit,14.4422528,50.0749956
Vínečko 33,14.4421563,50.0775806
Club Saigon,14.4435101,50.0780878
Jan Voráč - Poco Loco,14.4414288,50.0776815
Vinohradský Burger Bar,14.4436436,50.0771122
Radost FX,14.4323338,50.0759511
Legenda,14.4301837,50.0738809
The PUB Praha 2,14.4283676,50.0761791
Vinárna Vínečko,14.4343135,50.0724464
Restaurace U Havrana,14.4285627,50.0761913
Kavárna Pražírna,14.431331,50.074894
Klub 21,14.434834,50.077413
Balbín poetic pub,14.4339438,50.0769196
The Pub Pilsner Unique Bar,14.4283715,50.0761404
Restaurace Retro Kavárna,14.437834,50.074531
Pivovarský dům,14.4236843,50.0754566
Café Kolíbka,14.423165,50.078012
Placebo Pub,14.4314583,50.0765099
P.M. club cocktail & music bar,14.415911,50.070553
"Heaven Praha, spol. s r.o.",14.4147609,50.0747262
La Loca,14.4181179,50.077529
Art Restaurant Mánes,14.4141197,50.0774994
U Fausta,14.4184286,50.074122
Malá Bretaň,14.4177733,50.079702
Orlík - restaurant,14.4145242,50.0772153
Anette Hotel,14.40876,50.0721484
Cocktail bar Back Doors,14.4062553,50.0718736
Plzeňský restaurant Anděl,14.405029,50.07098
Futurum Music Bar,14.4076842,50.0739766
Pekelnej bar,14.40514,50.071654
Hospoda u Buldoka,14.406758,50.0725526
U Starého lva,14.4085218,50.0723034
Lokal Blok,14.405065,50.073059
Hospůdka Sokol,14.4078532,50.071283
Pivnice Jamajka,14.4068429,50.0714179
Pizzerie U Tučňáků,14.407889,50.0730859
Bar...Coming Soon,14.4059042,50.070525
Restaurace U Kristiána,14.4094424,50.0700322
Hotel NH Prague City,14.3972362,50.0713239
T.G.I. Friday's,14.4051734,50.0705461
Blázinec,14.4050998,50.0708368
Cyril's Pub,14.403215,50.0703
MaxLasergame,14.3921533,50.0723046
hospůdka pod mlynařkou,14.3942731,50.0722258
Tajmahal express,14.3963481,50.0713993
U Primátora,14.3956339,50.0729207
Restaurace Pod Černým vrchem,14.3896397,50.0713555
sport bar johnny cash,14.3885503,50.0718094
Johny Cash sportbar,14.3884155,50.0719346
Paddy's bar,14.3870612,50.0720267
Sky Lounge NH Prague,14.3963268,50.0699172
Pivnice Pod Mlynářkou,14.3828702,50.0709195
U Popelky,14.3834901,50.0701746
Little Bobby’s Hometown American Extravaganza,14.3879857,50.0681958
Bar Rum Bum,14.3764936,50.0706696
VINOTÉKA U LACHTANA,14.3722906,50.0698183
Na Závisti,14.3759256,50.0699655
Jitka Moravcová,14.3677447,50.0673117
Restaurace U Tenisu,14.3615522,50.0669059
Vinarna Pod Starymi Schody,14.367203,50.068111
Hotel Golf,14.344726,50.067289
Dr. Voják,14.3369651,50.0660306
Hotel Fortuna West,14.319278,50.065748
Code bar,14.3158732,50.0651338
Pivni Bar,14.3104954,50.0632706
Hospoda U Lesa,14.6711512,50.0878286
Fitness Klánovice,14.667826,50.091802
Pivnice Na Konečné U Trampa,14.5220937,50.0760037
Strašnické divadlo,14.499023,50.0753397
Šatlava,14.5002875,50.0767902
Vinný bar Ken,14.5005718,50.0751256
Gurman grill,14.4897548,50.0757693
Food House 18,14.4921256,50.0766042
U Kormidla,14.4900533,50.0753766
Beer Knír,14.4842077,50.0713616
U Bakaláře,14.4833331,50.0713108
Sportbar History,14.4700496,50.0720984
Kavka,14.4675746,50.0717857
Pivnice Ferdinand,14.4612222,50.0716571
Vinný ráj,14.4612377,50.0708867
Restaurace Hot Pepper Pub (U Pálivé Papričky),14.4589823,50.0709527
U Sporťáka,14.4565735,50.0690917
Restaurace U Klokoně,14.460755,50.070837
Vinotéka - kavárna KORUNNÍ 105,14.4549058,50.0755353
Coffee & bar Sappho,14.4506827,50.0761533
Joker Bar,14.4586035,50.0714654
Vinný šenk Pod Pergolou,14.4534049,50.075241
Galerie piva,14.4508052,50.0705772
Zelená Zahrada,14.442794,50.0708202
U Rozjetý žáby,14.4472571,50.0712906
The George Prague,14.445586,50.072737
Pivnice Pivovaru Trilobit,14.4502507,50.0718524
Bar v Krymský,14.4486197,50.0715813
Na břehu Rhôny Francouzská,14.4475171,50.0718194
Café V lese,14.4484711,50.0714079
Sběrné suroviny,14.4471705,50.0715493
Murphy's,14.4509402,50.0710417
Bougainvillea Bar & Store,14.4508947,50.070969
Hotel Ametyst,14.4362449,50.0707606
Las Adelitas,14.4392592,50.0715226
Oliveira - Wine | Tapas | Market,14.4414571,50.0710297
Ron Bar,14.4380005,50.0722481
Hostinec ResPUBlica,14.4331875,50.0718506
Lobby bar Ametyst,14.4362691,50.0706661
Evening Cafe Souterrain,14.4335723,50.0728823
Bar Black Sheep,14.4373416,50.0733796
Sklípek U Zlatého hroznu,14.433406,50.074018
Retro Cocktail & Music Bar,14.4378046,50.0745497
Již Brzy Bar,14.432232,50.070895
Magister Kelley,14.434013,50.0669214
Výloha Bar,14.4176659,50.0688574
bar Hidden,14.420238,50.068092
Bar Albertov,14.421374,50.067186
Mrtvá Ryba,14.4230714,50.0724527
Vinárna Na Hrádku,14.418863,50.071276
Naturel,14.4235953,50.0748872
U Suchý Dásně,14.4163144,50.07081
Moe's,14.4266779,50.0754167
Dead Jack Club,14.4244791,50.0756932
Whisky&Kilt,14.4309784,50.071628
BAR NOTA,14.4242007,50.076567
U Plavců,14.415776,50.07061
Revoluce Sex Night Club Praha,14.4232302,50.0754299
Bar U Ječmene,14.4266032,50.0754117
P.M. Club Ltd.,14.4156005,50.0706547
Locál Café & Bar,14.4152876,50.0738822
Oliveira - Boat,14.414231,50.069735
Na břehu Rhôny,14.4152105,50.0682808
Imago Mundi,14.414362,50.068352
U Bráchy,14.416675,50.0683742
Loď Captain Morgan,14.4135899,50.072652
The PUB Praha 5,14.4073078,50.0663942
Dog's Bollocks,14.4070626,50.0677417
Nagano 98 - Sportbar,14.4062297,50.068408
Hells Bells Oikea,14.4058356,50.0715645
DEWPUB Official DewPub Prague,14.401026,50.068795
Bernard Pub,14.4016013,50.0687383
Ufobar,14.3989915,50.0665419
SKOTSKÝ KLUB ŠEDÝ PES,14.3968329,50.0663278
Fruitisimo Radlická,14.4011331,50.071596
Radlická Kulturní Sportovna,14.4029035,50.0673896
Restaurace Plachta,14.405836,50.070293
La Macumba Music Latino bar,14.403744,50.0726811
Hostinec U Váhy,14.406333,50.068928
Vinný sklípek U Madony,14.3856419,50.0628722
Trafika - bistro,14.3604639,50.0630626
Fruitisimo Zličín,14.286827,50.053787
Restaurant Smolík,14.664622,50.086608
KARLOS Bar,14.6167991,50.081301
Kobra Bar,14.6168529,50.0816799
Fruitisimo Fashion Arena,14.538957,50.073981
Fruitisimo Europark,14.542387,50.072561
Restaurant Starý Pán,14.5091125,50.0721889
La Bomba,14.4938052,50.0687181
Švejk Restaurant Start,14.4914899,50.068816
Bar Vesna,14.4878849,50.0708709
Publikum,14.4892668,50.0699004
The Giraffe,14.482789,50.069905
iSauna Vršovice,14.478237,50.068635
House Mouse,14.4738654,50.0699286
Bar U Holek,14.4783953,50.0684738
Fruitisimo Eden,14.468629,50.067969
Pivnice U Stadionu,14.4697502,50.0695752
Eden Aréna V.I.P. Lounge,14.4707564,50.0677538
Milá Tchýně,14.4575506,50.0674143
Mistresses Winery,14.4560172,50.0674154
Vinotéka U milenky/ce,14.4560172,50.0674154
Monkey Bar & Lounge,14.4636037,50.0688025
Aprés Bar,14.4612915,50.0705839
Pivní zastávka,14.4600321,50.0704442
Clock craf beer,14.4599061,50.0705234
Tipsport bar,14.4603203,50.0677266
Hot Pepper Pub,14.45885,50.0709674
BARRIQÁDA,14.457894,50.068221
Kozlovna l.p. 1874,14.4555006,50.0674792
Waikiki,14.453183,50.0685898
Bowl Bar,14.4513313,50.0705433
100 Piv,14.4513228,50.0662112
Zlý časy,14.4420491,50.0643445
Hospoda Pohoda,14.4393514,50.0654918
Marova Letni Zahradka,14.4448728,50.0707129
Basement Bar,14.4464526,50.0718104
B52,14.443468,50.0722228
Sousedský Pivovar Bašta,14.4398265,50.0628617
Pivnice La Špeluňka,14.4394031,50.0655429
Woodstock Bar,14.434111,50.0682978
Pink Floyd Café,14.4386829,50.072101
Rockberry Bar & Music Club,14.4316622,50.0661217
Le Bouquet,14.435902,50.0717567
"Francouzská vína,sýry a pochutiny / Château Šafaříkova / French wine Prague",14.434144,50.071364
Jinový svět,14.4397245,50.0725104
Hospoda Pod Nuselským Mostem,14.4287821,50.0652316
Boothill Bar,14.4275099,50.065214
Bar Tvrdej Dopad,14.4309992,50.0649745
Sport Bar Time,14.4300337,50.0658377
Bracha Na Triku,14.4293981,50.0655837
Plzeňský Anny bar,14.4287821,50.0652316
Retro Bar,14.4306583,50.064922
Midgard Bar,14.4316527,50.0651678
Nuselská Blatnička,14.4263809,50.0651118
Galerka,14.4332162,50.068292
Kačerov,14.430261,50.0632116
U Olmerů - Rest & Pub,14.425256,50.063786
Aleš VANICKÝ - ALVA,14.4324564,50.0719742
Hostinec U Zlaté kotvy,14.4190211,50.0665004
Kafesha,14.4199423,50.0658881
Wine Bar Andílek,14.4189226,50.0662676
Cargo Gallery,14.415062,50.0655629
Kayak Beach Bar,14.4147169,50.0669249
Rest. Sním či jím,14.4191929,50.0614526
Hospůdka Na Hradbách,14.4220669,50.0636888
Botel Vodník,14.41145,50.0630674
PROSTOR ZEMĚ,14.4081359,50.0670688
Restaurace Na Růžku,14.4096067,50.060194
Pivnice Smíchoff Restaurace,14.4097338,50.0600213
Hospoda Brouk,14.4069156,50.0697891
U Prince Miroslava,14.3974406,50.0620485
Modrá Hvězda,14.4046758,50.0629934
Restaurace & bar Pradlenka,14.408471,50.064987
U Neostichu,14.3999708,50.0671283
Koloniál Charlie,14.3979759,50.0631483
Kočkodan v krabici,14.4097039,50.061936
Pivní bar Fantomas,14.4052283,50.0693336
Výčep Pod Komínem,14.4087812,50.0686863
Café Bar - bat,14.4051029,50.0699351
Bar Zličín,14.291272,50.0540127
kladno multigate,14.2875481,50.053295
Hospoda Na Padesatém,14.5058534,50.0662144
Vinoteka - Pivní Bar,14.4949262,50.0675487
Hostinec Na Rychtě - Jaroslava Vaňková,14.4680418,50.0613044
Ankali,14.4569049,50.0634995
Zubatý pes,14.453139,50.0639432
Pivnice U Müllerů,14.4532435,50.0635445
Restaurace Chapadlo,14.4454454,50.0618414
Toskana - farmářské trhy po italsku,14.4499908,50.0605433
KLENBA BAR,14.4459101,50.0620938
Vacuum Art Bar,14.4513228,50.0662112
Nevada,14.4484241,50.0608645
V pasti,14.4485135,50.0607577
Kafe Bar South & Herna,14.4467556,50.0615059
Kavárna Náš bar,14.4365299,50.0612036
Barkat S.r.o.,14.4472599,50.0590932
PYRÁT Pub & Pivnice,14.4426515,50.0637263
"Bar Michle, the first. bar - pivnice, kavárna, music bar",14.4416754,50.0637636
Злые Времена,14.442051,50.06434
Magic sportbar,14.4415504,50.0648231
Krušovická chalupa,14.4326338,50.0604052
Wine bar After years,14.4349646,50.0574324
Tobaco Music Bar,14.41989,50.059114
Restaurace U Horů,14.4213829,50.0586833
U Dragouna,14.423016,50.0571332
ScandalBar,14.4221499,50.0564732
Café Citadela Vyšehrad,14.4172382,50.0629809
Vinárna - Smíchov,14.4098802,50.059691
Climbing Center SmíchOff,14.4056897,50.0552497
Európé R.P. s.r.o. - parníky Praha,14.4110002,50.0568449
U Lučištníka,14.3983833,50.0556711
Restaurace Nová Hospoda,14.3603995,50.052545
Jinonická garáž (Cotton Bar),14.3615975,50.0536027
Sommeliers Wines S.r.o.,14.3575867,50.0545884
Sport bar Škoda,14.3498776,50.0528154
F1 Sport Bar,14.3451307,50.0508463
Šatlava,14.3424787,50.0536489
POHODA,14.3476033,50.050039
Vinotéka André,14.3432239,50.0506124
Hospoda Na Růžku,14.3392424,50.0528787
Zdeněk Švajda,14.3426269,50.0501575
Sokol Stodůlky,14.3109493,50.0501517
Games Room Bar Beam,14.3114976,50.0465882
Bohemia Wine,14.3038163,50.0461983
Rukodělný Pivovárek Třebonice,14.282408,50.044159
At The Lambs,14.27984,50.045291
Billiard Svět,14.6646,50.0752879
Občerstvení Dřevák,14.6634328,50.0757945
малешіце Вул.горнігордолеска,14.553928,50.066783
U Švehly,14.506124,50.060407
Вулиця Пампеліскова,14.5023735,50.0603075
Moes Bar,14.5035467,50.0595403
Michelská Krčma,14.4702789,50.0570613
Bumer BAR,14.4556696,50.0552545
wine bar,14.452303,50.05805
U Rumlíka,14.443988,50.0563871
U Plevů,14.4449375,50.0555262
The First,14.4522232,50.0547175
BEER BAR In Veseli,14.441569,50.0568727
Bar Suterén,14.4524145,50.0546223
HOTEL OYA,14.43697,50.054497
Sedmé nebe,14.4370344,50.0544697
ego Čajbar,14.428266,50.053998
"Studentský Klub - Bar ""U Dna""",14.4271069,50.0539927
Na Staré Sokolovně,14.4184483,50.0540537
Vagon Blanik,14.412443,50.0543604
Bajkazyl,14.4081814,50.0532377
Bar U veselé kozy,14.4099534,50.0509433
BubbleMania Praha - OC Galerie Butovice,14.354722,50.0474336
Bunkr,14.3317369,50.0452862
Fruitisimo Lužiny,14.3318511,50.0440923
Bar U Sama,14.3217611,50.0446859
Hrobař,14.321136,50.0448259
MagicPlanet,14.5077306,50.0570916
Pivní Bar-Topolová,14.5076258,50.0571098
Beer Bar Bell,14.504086,50.055231
Pivnice U Václava,14.4897319,50.0549697
U Krize,14.496345,50.057122
Hospudka U Kopeckych,14.4897319,50.0549697
Tyrkys bar,14.4900374,50.0541972
Bull Dog´s Dart´s Pub,14.4564927,50.0523216
SOMMELLERIE,14.4528808,50.0491065
Wine Bar,14.4521435,50.0537122
Bistro ve Sklepě,14.4547034,50.0518153
Fruitisimo Arkády,14.4391031,50.0511586
Bar Satelit,14.4397034,50.0523697
Žluté lázně,14.414186,50.048577
Podolee,14.4153403,50.047294
Pivovarská restaurace Dvorce,14.416055,50.0466835
U Velasů,14.4075011,50.0458655
Zlíchovská pivnice,14.4079884,50.0469498
Na Cvičáku,14.3873101,50.043357
Restaurant V Parku,14.5610099,50.056452
Pivnice u Tomáše,14.5610569,50.0580558
Hole in One,14.5319307,50.0523268
U Chmelového věnce,14.529723,50.0522585
Fruitisimo Park Hostivař,14.518006,50.053422
První Pivní Tramway,14.4819385,50.0504998
WINEBAR da Enrico,14.4775236,50.0461772
bar Kačerov,14.4618568,50.0467929
Pivnice Šťastná léta 80.,14.4641877,50.0471796
Pubs under the stairs,14.4619775,50.0469501
Coolna metropolitan bar-restaurant,14.445669,50.047453
Ugo Salaterie,14.4489849,50.0439243
Vinný bar & café,14.449201,50.0438971
Hostinec U Procházků,14.4412712,50.0479061
Vietboy Minipezo,14.4448844,50.0435493
Luxuria,14.4285188,50.0436792
Pizzeria Margherita,14.420657,50.0456591
Besední Restaurace u Ritschelů,14.3940002,50.0409843
Club Bar S5,14.3940138,50.0409684
Barchánková Jiřina Ing.,14.3898351,50.0394981
Hurdálkova chýše jedová,14.3897916,50.0419536
Fantasie,14.3387476,50.0379074
Tankovna Velká Ohrada,14.3379023,50.0380459
Restaurace a Pivovar Řeporyje,14.3129129,50.0334197
Hostivar H2,14.5619237,50.0494284
Hospoda Na Pahorku,14.5468881,50.0488208
Casino Bonver TAŠKENT,14.543992,50.0503149
PUB U Sousedů,14.53823,50.050696
Hostinec U Břehu,14.5338129,50.0478394
Vinotéka Václav Šašek,14.5244971,50.0483125
Vinárna Sýkora,14.5180312,50.0448776
Club 88,14.4976497,50.0444277
Borneo,14.4871131,50.0468
Music club Zaragoza,14.4611207,50.0429148
Vinotéka Soudek,14.4466179,50.0422244
pizzeria-ristorante La Casata,14.4381801,50.041017
havran bar,14.4381019,50.0411065
Sedmicka,14.4382832,50.0410684
Bar Kulovna,14.4119908,50.0385679
Hostinec U Kohouta,14.4139897,50.0357428
Bar Merkur,14.3831581,50.0353741
Klec,14.5581959,50.0455367
The Hostivar Brewery,14.5492942,50.0463757
Pivnice U Bazénu,14.5052123,50.0398638
Dugout Cantina,14.4342368,50.0335907
Buddy music Bar,14.4342366,50.0336087
Beach Braník,14.4210068,50.033083
Pod vrbou u Vltavy,14.4042685,50.0338119
Sportbar Barandov,14.3691168,50.0307156
Club Bar Korlin,14.3687229,50.0300426
PAP restaurant,14.3642431,50.0307843
U Knotků,14.3561655,50.0297692
Bonté,14.568163,50.039708
CENTRAL Music Bar,14.5327602,50.0401205
Beer garden,14.5321243,50.0399517
Music Club Jižák,14.5154225,50.0373543
Stáčírna Vítka I. z Prčice,14.5104527,50.0393914
bar Monika,14.5002475,50.0352057
"3F Prague, S.r.o.",14.4831803,50.03255
Bar Chrpa,14.4819755,50.032706
HOTEL GLOBUS,14.476314,50.034243
Mercuria Laser Game Braník,14.4104489,50.0297009
Restaurace Višňovka,14.5560337,50.035887
Občerstvení V Zátiší,14.5500545,50.0373211
Hospoda Na Hřišti,14.5333739,50.0353385
Herna Borneo,14.5289123,50.0320436
PIVNÍ BAR 11,14.5186814,50.0327295
U Máji,14.5155518,50.0324795
Goučko,14.5155276,50.0325555
Gogo Bar,14.5157031,50.0324967
Pivnice Kozel,14.5069253,50.0330108
Vinárna u Papežů,14.5030045,50.0308082
Potrefená Husa,14.4914052,50.0317985
Fruitisimo The Park,14.4940536,50.0289599
Fruitisimo Chodov,14.489889,50.031403
IQOS Chodov,14.4909949,50.031396
Restaurace Školka,14.4828464,50.0296967
Fruitisimo The Park,14.4934399,50.0284058
Café Level & Club,14.489051,50.0310247
pub Pipkin,14.4517465,50.0258529
Daniel Pojda,14.4317919,50.0243084
Bar El Clasico,14.4258532,50.0251234
Garáž,14.412092,50.0222766
Vodpočívárna,14.3981392,50.0228605
Forbes Aréna Casino,14.5297311,50.0312343
Koulovna,14.5285613,50.0316562
herna U raka,14.5345959,50.0302782
Sportbar Ladybird,14.5346883,50.0300981
HÁJENKA Bar Herna,14.5293562,50.0310585
Sport bar Chilská,14.5078068,50.0279606
Hospoda 213,14.5150997,50.025627
Vinotéka Slovácký sklípek Krč,14.4517907,50.0233014
Magic bar,14.4518439,50.0221784
U Krychle,14.4334322,50.0194451
Pivovarská restaurace,14.6049392,50.0297298
BBQ U Davida,14.6006698,50.030358
Uhříněveský Bar,14.6005426,50.029537
"Cyklobar ""Shield""",14.5557535,50.0242871
aerobic Monika,14.5170628,50.0252354
U Kajmana,14.5164598,50.0235309
Club Bourák,14.5150799,50.0226705
Pivovar Spojovna,14.4990491,50.0201546
Smoky Place,14.4973964,50.0198122
The Green Bird,14.487994,50.022216
Vinárna U dvou přátel,14.487792,50.022224
Excellent kolej Pub,14.4938108,50.0200922
Restaurant And Wine Zelene Domky,14.4681568,50.016851
Greek market,14.4471899,50.0191344
Vinárna Barbora Zavadilová,14.437289,50.0150069
Rio Sportbar,14.4353599,50.0154432
Cklub Kamýk,14.438033,50.0146573
Club Kamýk,14.4380313,50.0146542
Country hospůdka Puppy,14.4283781,50.0150205
Modřanské Labe,14.4215626,50.0132644
Pivnice Modřany,14.42198,50.0129677
Restaurant On the track,14.3896118,50.0092697
Hospůdka U Studánky,14.4946269,50.0143531
Lokál U Zavadilů,14.4855249,50.0140749
Food Story Kunratice,14.4842882,50.0134339
Decinka - Decentní vinotéka,14.4823945,50.013184
Originál 1869 U Hertlů,14.4571382,50.0138241
한정구의 집,14.4616067,50.0111008
Maropo - v.i.p. music club,14.4488816,50.0121022
Sportbar Panda,14.4456683,50.0135839
Karaoke Disco Prague,14.4262645,50.0077477
21 regal,14.4281106,50.0089325
Pivnice Sázava,14.4275963,50.0086011
Bar Sázava,14.4276087,50.0085524
Joker,14.4166533,50.0070177
Restaurace U Splavu,14.6057873,50.0231973
Občerstvení na hřišti A.F.K. Olympia Šeberov,14.5131056,50.0107875
Občerstvení u námořníka,14.4948831,50.0101014
Classic Bar Studio,14.464806,50.010837
Václav Řepa - Hostinec U Eimů,14.4628017,50.0083058
Bar Modrák,14.4551177,50.0087119
Modrý Bar,14.4547179,50.0083618
Restaurace Pátá Meta,14.4471032,50.0090245
Restaurace Želivka,14.4336032,50.0056519
Cafe in Exile,14.4164507,50.0053554
"Chorvatská rybí restaurace ""DECO""",14.4052742,50.0029871
Bar Pomeranč,14.4039745,50.0049881
Club Tropicana,14.6524403,50.0177701
"Hospůdka u ""Vendyse""",14.5467447,50.0129246
LIFESTYLE HOTEL,14.466515,50.003836
"Bar ""U Nebíčka""",14.466084,50.006034
Bara HK spol. S R.o.,14.4719261,50.0063118
Lifestyle Karaoke,14.4665695,50.0037863
Lifestyle Karaoke,14.4663987,50.0038184
Pizzerie Mont Fort,14.4272852,50.0002226
Cyklokavárna RoudBike,14.4043764,49.9990662
Cyklokavárna RouBike,14.4043824,49.9987381
Teodoro s.r.o.,14.487555,49.998801
Klub Bažina,14.4101585,49.9925843
Loco Bar,14.4045068,49.9935577
TORTUGA gril-bar,14.394335,49.993055
Komořanská Pivnice,14.4097256,49.99083
Vinotéka U Karolínky,14.3648899,49.9851666
Tipsport bar,14.3602884,49.9858911
Na Růžku,14.3576032,49.985196
Sport bar U Sporťáka,14.3569881,49.9826637
Bistro U Ondřeje,14.364512,49.9822782
Beach Arena Radotín,14.3584466,49.97917
Lipanská hospůdka,14.6170103,49.999168
Zbraslavský Hostinec,14.3938333,49.9770316
U Posledního Kelta,14.399413,49.973482
Kiosek Konec Žízně,14.3990444,49.9749773
Hospoda na Točné,14.4311353,49.9728397
Sport Bar,14.3860638,49.9693554
Sport bar Sportivo,14.3859399,49.9692759
EMBASSY CLUB - Private Music Club,14.384131,49.968601
Wineport Ltd.,14.3811585,49.9654926
Sushi Sushi,14.3782255,49.9676721
U Kapitána,14.3321808,49.9626183
