nazev,lon,lat
Delfinárium,14.4908762,50.1062137
Magic Club,14.4750249,50.1073392
Bar NA MĚSÍCI,14.475257,50.1064098
Music Club Palmovka,14.4788583,50.1054282
Weed Bar,14.4754431,50.108749
Dřevona,14.4753619,50.1086516
U Králů,14.4741628,50.1092104
Na Měsíci,14.475257,50.1064098
Divadelní kavárna Divadla pod Palmovkou,14.4731254,50.1054966
"NAPALMĚ, pivní bar",14.4730617,50.1042898
Pivnice U Světa,14.4725752,50.106229
Long Island,14.4690809,50.1070072
Libeňská klubovna,14.4690884,50.1069329
U Budyho,14.4647526,50.1064318
Vítek Martin,14.4526444,50.1059761
Vinárna Bzenecký dvůr,14.4538515,50.1060118
Biblioteca del Vino,14.4501656,50.1039844
Pizzeria - Bar,14.452858,50.1033922
Hostinec U Pivovaru,14.4484206,50.1065423
Hostinec Poupětka,14.4483307,50.1065662
Sir Toby's Hostel,14.448115,50.103069
ABSOLUTE BOWLING,14.4470022,50.1057069
World wines,14.4446856,50.1033279
Bami s.r.o.,14.4472027,50.1032908
Bar Pětka,14.4490865,50.1031123
Tecno club,14.4478302,50.1051057
U Golmana,14.4458659,50.1033469
JACK DANIELS STUDIO,14.4494304,50.1029746
Bohemia Bagel Bar & Grill - Holešovice,14.4326301,50.102869
Klasick Wheels motorcycle store & coffee,14.4380395,50.1035397
Wildt Bar,14.4313569,50.1039868
"""Nemáš Zač"" - Ladies Club",14.4336905,50.1022712
Skutečná pivnice,14.433039,50.1024478
Kontrast Bar,14.425455,50.102189
Bar - Club Stromoffka,14.426222,50.102909
Misch Masch - Music Club,14.426235,50.100817
bar Kamenicka,14.4262755,50.1026496
U houbaře,14.4333899,50.1011634
Barré,14.4272703,50.1009774
Elbow Room,14.4262562,50.1010905
Café Spitfire,14.4266797,50.1008316
Base Camp pivní galerie,14.4250033,50.1015933
Tiskárna na Vzduchu,14.4293565,50.1054831
Mama Shelter,14.4316962,50.1023853
Klub AVU,14.4252969,50.1027619
Zálusk,14.4262085,50.102032
contrast Bar,14.4254548,50.1021888
Barometr,14.4264753,50.1014877
Klub Ajeto,14.42226,50.1006764
Fraktal,14.4225081,50.1002722
Lokál Nad Stromovkou,14.4183495,50.1030785
Kyklop,14.420875,50.1002658
Vinný bar U vzducholodě,14.4224882,50.1012976
Winnie,14.4193548,50.1026811
Snack Bar Tulipán,14.4223343,50.0997783
Záletná Sova,14.422182,50.1008496
The PUB Praha 6,14.401446,50.1007335
Pálavská tavern,14.4025129,50.1007547
Na břehu Rhôny Dejvice,14.4027096,50.102372
Za školou,14.402071,50.102113
Pivovar Bubeneč,14.404452,50.1011453
Sixis bar,14.3974919,50.1004441
Totoro,14.4021736,50.1024866
"Václav Abraham - Bar catering, barmanská show",14.4010125,50.1021989
Glass of Wine,14.4003172,50.1023307
La Fuente music bar,14.399954,50.0995416
Piraňa Bar,14.4040582,50.0984872
